title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
Become a Python Data Analyst: Perform exploratory data analysis and gain insight into scientific computing using Python, Alvaro Fuentes,24.99,178,4.8,10.0,0.77,0.23,0.0,0.0,0.0,"Packt Publishing (August 31, 2018)",978-1789531701
Machine Learning Bookcamp: Build a portfolio of real-life projects, Alexey Grigorev,35.99,472,4.5,14.0,0.81,0.1,0.09,0.0,0.0,"Manning (November 23, 2021)", 
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL," Upom Malik, Matt Goldwasser, et al.",27.88,386,4.4,234.0,0.69,0.13,0.11,0.04,0.03,"Packt Publishing (August 23, 2019)",978-1789807356
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,,62.99,330,4.3,39.0,0.65,0.17,0.06,0.04,0.07,"Packt Publishing (February 22, 2021)", 
"Microsoft 365: 11 Books in 1: The Ultimate All-in-One Bible to Master Excel, Word, PowerPoint, Outlook, OneNote, OneDrive, Access, Publisher, SharePoint, Teams and Visio with Step-by-Step Tutorials", Benjamin Zeldovich,24.14,560,5.0,429.0,0.98,0.01,0.01,0.0,0.0,"Independently published (December 5, 2022)",979-8363221682
Excel 2022: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials, Leonard J. Ledger,19.7,149,4.3,735.0,0.62,0.17,0.11,0.04,0.05,"Independently published (April 1, 2022)",979-8444443675
Data Science from Scratch: First Principles with Python, Joel Grus,44.97,330,4.3,318.0,0.63,0.17,0.1,0.07,0.03,"O'Reilly Media; 1st edition (April 30, 2015)",978-1491901427
Doing Data Science: Straight Talk from the Frontline," ""Cathy ONeil"",  and , Rachel Schutt",26.44,408,4.3,175.0,0.61,0.24,0.07,0.05,0.03,"O'Reilly Media; 1st edition (November 19, 2013)",#NAME?
"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables", Paul McFedries,8.09,"Explores all features and functions in two-color  packed with screenshots, numbered steps, and other visual graphics that clearly show you how to accomplish tasks",4.1,19.0,0.5,0.32,0.03,0.08,0.08,"Visual; 4th edition (July 29, 2013)",978-1118517147
The Workflow of Data Analysis Using Stata, J. Scott Long,75.95,379,4.6,46.0,0.74,0.19,0.03,0.04,0.0,"Stata Press; 1st edition (December 10, 2008)", 
